JEID,Project,Geo_typ,Proc_code,Norm,x,y,z,STPOS1,STPOS2,STPOS3,STPOS4
JE3864,car,point,66,-y,36,87,396,-7,3,-21,-21
JE1012,car,curve,66,+x,343,38,42,2,2,-1,-1
JE4719,pkw,point,21,+y,256,306,330,3,2,-11,2
JE9560,van,pattern,21,+x,252,458,355,3,2,-21,2
JE9196,van,curve,66,+z,382,100,403,-14,3,2,3
JE6352,car,curve,71,-z,267,396,24,1,2,-1,1
JE1829,car,point,66,+z,57,445,255,-7,-7,1,-21
JE3471,pkw,point,23,-y,6,128,174,-7,-7,3,-11
JE2993,van,point,23,-z,278,486,339,-7,1,2,-21
JE7196,car,pattern,66,+y,333,249,227,2,2,1,2
JE7065,car,pattern,21,-x,476,248,367,-14,3,1,-7
JE2377,pkw,pattern,21,-x,106,423,15,2,2,-14,-11
JE2389,car,curve,23,+z,332,126,404,3,2,-1,-1
JE5764,van,point,71,-z,95,56,446,-14,-7,-14,3
JE8902,pkw,curve,66,-y,404,471,340,-7,1,2,-14
JE6726,van,curve,21,-x,83,1,124,-1,-14,-7,2
JE1151,car,pattern,23,-x,100,369,115,-21,-14,-14,-11
JE9413,pkw,pattern,23,+z,115,107,439,-1,-14,-14,-7
JE8293,pkw,point,23,-z,63,474,268,-1,-14,-14,-1
JE4663,car,curve,66,+x,323,71,161,-1,-1,1,3
JE7941,car,pattern,71,+y,279,367,487,1,2,-14,2
JE3643,car,curve,66,+z,123,478,383,-14,3,-14,-1
JE8953,pkw,point,71,+y,84,477,299,-7,-14,-7,-11
JE1392,van,curve,66,+x,302,438,404,2,2,-11,-7
JE7089,pkw,curve,23,-x,57,444,240,-14,-1,-11,-7
JE3821,pkw,curve,66,+z,492,187,264,3,2,-14,-14
JE4046,pkw,curve,21,+x,242,332,269,3,2,1,-11
JE9682,pkw,curve,66,+z,467,122,1,-1,-1,-11,2
JE3110,pkw,pattern,71,+y,389,365,205,1,2,-14,-11
JE9398,car,pattern,23,+x,32,213,147,-21,1,-1,-11
JE5276,car,curve,71,-z,254,30,364,-21,1,-21,3
JE8355,van,pattern,23,-x,176,295,42,1,2,2,1
JE3504,van,point,23,+z,306,337,364,2,2,-1,-1
JE5805,car,point,21,+x,13,43,76,-1,-21,1,-21
JE5629,pkw,point,71,-y,245,368,66,-1,3,-21,2
JE4959,pkw,curve,23,-z,438,268,371,1,2,2,2
JE6761,car,point,21,+z,150,271,497,-7,2,-21,-14
JE8384,van,point,66,-y,467,167,311,3,2,-1,-1
JE7187,car,point,71,+y,458,120,280,-14,3,3,-1
JE1914,pkw,curve,23,+z,220,278,360,-11,-1,2,-21
JE7312,van,pattern,21,-y,192,464,500,1,2,-1,3
JE3167,van,point,71,+z,16,230,367,2,2,1,1
JE5333,van,curve,66,+y,424,142,427,-21,-7,-7,-14
JE6939,van,point,21,+z,114,375,225,-7,-14,-1,1
JE4081,pkw,curve,66,-z,54,35,146,1,2,-7,-14
JE2479,car,pattern,23,+z,401,9,276,-7,-11,-1,-14
JE7020,van,point,71,+y,278,329,365,-11,2,-14,-11
JE3988,van,curve,21,+x,197,427,500,-21,1,-1,2
JE9080,van,curve,21,-z,55,155,266,-1,2,1,-7
JE2292,van,point,66,+x,228,213,40,2,2,-11,2
JE9189,car,curve,21,+z,47,184,341,-14,-11,3,-21
JE3342,car,point,66,+z,19,392,437,3,2,-21,-11
JE6490,van,curve,21,-x,81,91,315,-21,-11,2,-11
JE8157,van,pattern,21,-z,86,310,159,-11,-7,-14,3
JE2877,pkw,curve,21,+x,146,95,15,-1,-7,3,2
JE7788,car,point,71,-x,205,195,91,2,2,-14,-14
JE8177,pkw,pattern,66,+z,46,110,383,3,2,1,3
JE9469,car,pattern,71,-x,97,100,418,3,2,-14,-7
JE1928,pkw,pattern,21,-x,114,42,155,-14,2,3,-14
JE3032,car,curve,21,-x,448,272,143,2,2,-1,2
JE9874,pkw,point,23,+x,420,326,307,1,2,-14,3
JE3623,pkw,point,23,+x,42,488,281,1,2,1,-21
JE7100,car,curve,23,-x,79,113,113,-14,-14,3,-14
JE3353,van,pattern,71,-x,434,397,77,1,2,2,-7
JE6215,van,point,21,+x,135,437,187,-7,1,3,2
JE6768,pkw,pattern,66,+y,160,36,254,1,2,-7,2
JE9671,car,point,21,+x,48,157,292,-14,-1,-11,-21
JE7898,car,curve,71,-x,44,191,354,-14,3,-11,2
JE6932,van,curve,21,-z,410,410,227,3,2,3,-11
JE1336,car,point,66,+x,238,253,221,-7,3,2,-11
JE2129,car,pattern,23,-x,472,499,8,1,2,-21,-14
JE2607,van,pattern,66,-y,461,111,289,-14,3,3,-21
JE2636,van,pattern,71,-y,451,208,47,-1,1,-11,-21
JE7947,van,curve,66,-y,83,110,319,1,2,-11,-1
JE2969,car,point,66,-y,88,175,452,2,2,-1,3
JE1603,car,point,71,-z,293,253,205,3,2,-1,2
JE1814,pkw,curve,66,-x,141,25,393,-1,-11,3,-7
JE3987,car,point,66,-y,387,281,180,-7,3,-14,-7
JE9179,van,point,71,+y,447,5,475,-11,-21,2,3
JE5026,pkw,curve,21,+y,474,343,412,-1,-1,-14,-1
JE3209,car,pattern,66,+z,31,201,378,-14,-11,3,-7
JE2235,van,curve,23,+x,12,384,414,-14,-7,-21,-1
JE2042,pkw,pattern,21,-x,244,247,318,-14,-14,-21,3
JE2156,van,curve,23,-x,350,489,87,-14,-14,-7,-1
JE8458,car,pattern,66,+x,367,85,180,-7,3,-7,-7
JE6977,pkw,curve,23,+x,126,69,101,-11,1,3,-1
JE3924,pkw,curve,71,-x,432,197,155,1,2,-11,1
JE8065,van,curve,23,-x,364,14,499,2,2,1,1
JE8575,car,point,71,-x,161,486,418,-14,-11,2,-11
JE1644,car,pattern,71,-y,364,461,265,-1,-21,3,-14
JE5543,van,pattern,71,-x,112,376,83,-1,2,-11,3
JE1606,car,point,71,-z,322,331,382,1,2,1,-1
JE4513,van,curve,71,+x,335,255,349,-1,-14,-1,-7
JE1493,pkw,pattern,66,-x,181,368,208,1,2,1,-11
JE2068,van,point,23,+x,227,250,370,-14,1,3,-11
JE2015,van,pattern,23,+x,309,357,94,-1,-1,1,-11
JE9365,car,point,71,+y,11,268,215,3,2,3,2
JE6293,car,curve,21,+y,72,147,308,-21,2,1,1
JE9471,pkw,pattern,23,-z,371,4,394,-11,1,-14,2
JE4835,van,curve,23,+z,42,187,240,-14,2,-14,-21
