JEID,Project,Geo_typ,Proc_code,Norm,x,y,z,STPOS1,STPOS2,STPOS3,STPOS4
JE7830,van,point,66,-z,150,131,12,-11,-11,-11,-1
JE6995,car,point,66,-z,50,180,51,1,2,-14,-14
JE1553,car,point,66,-x,96,148,180,3,2,3,3
JE6456,car,point,66,-x,83,33,185,-1,-1,3,-7
JE1083,van,point,71,-y,36,130,113,3,2,-7,-7
JE5588,van,point,23,-z,163,159,125,-21,-7,-21,-1
JE3341,pkw,point,23,+x,15,18,59,2,2,-7,1
JE8493,van,point,71,-x,3,57,7,2,2,3,-7
JE2207,van,point,66,+x,83,17,195,-21,1,-11,2
JE5053,pkw,point,21,-x,74,102,9,2,2,-7,2
JE5989,pkw,point,23,-x,175,140,127,3,2,-7,2
JE4280,car,point,66,+y,22,36,19,2,2,2,3
JE8579,van,point,71,+y,33,174,153,-11,-1,-11,-1
JE2110,pkw,point,71,-z,159,140,167,-11,-21,3,-11
JE5679,pkw,point,66,+y,191,200,110,-11,3,-11,-11
JE3794,pkw,point,21,+z,123,71,184,1,2,-7,-11
JE8585,van,point,66,+y,88,131,13,3,2,-14,-1
JE2120,van,point,66,+y,65,56,187,2,2,3,-14
JE7958,pkw,point,66,+y,169,102,130,1,2,2,2
JE7370,van,point,23,+z,117,108,154,1,2,1,-7
JE6307,van,point,21,-y,10,29,92,3,2,-14,-7
JE9001,pkw,point,21,+y,52,97,136,2,2,3,2
JE5072,car,point,66,-z,37,65,34,3,2,-7,-14
JE4373,car,point,66,-z,65,99,84,-21,-11,3,-14
JE2998,car,point,21,+z,31,113,37,-21,-7,2,3
JE3184,car,point,71,-x,99,129,85,-1,-11,1,-7
JE2130,van,point,71,-z,166,27,98,-1,-7,-1,-7
JE5341,pkw,point,71,+z,14,23,111,-11,-1,-7,-7
JE5596,pkw,point,23,-y,198,148,153,-21,-21,-1,-1
JE9835,van,point,21,+z,60,192,196,2,2,-14,-14
JE5352,van,point,21,+x,11,99,42,-21,1,3,1
JE9041,pkw,point,21,+y,138,9,1,-7,-11,2,-11
JE1043,pkw,point,71,-y,113,59,199,-7,-21,-21,1
JE5251,pkw,point,23,-z,165,34,45,1,2,-1,1
JE9335,pkw,point,66,+x,29,53,51,1,2,-1,-1
JE2186,car,point,66,+x,4,7,142,-21,-21,-7,-21
JE9866,van,point,21,-z,151,92,88,1,2,2,-21
JE6326,pkw,point,71,+x,24,124,41,2,2,-11,2
JE3464,car,point,66,+z,174,138,182,-11,-14,-14,2
JE7712,car,point,66,-x,112,5,116,-11,1,-1,1
JE6572,car,point,23,+y,170,196,180,-21,3,-21,-11
JE7374,pkw,point,71,+y,90,147,57,1,2,-1,3
JE5826,pkw,point,21,+x,112,200,164,-11,-7,3,1
JE7609,car,point,66,+x,47,162,106,-21,3,3,3
JE2861,car,point,66,-x,67,162,142,-21,-21,3,-1
JE3678,pkw,point,21,+x,38,23,124,-14,1,-7,-14
JE5723,pkw,point,66,-x,194,134,44,1,2,-1,3
JE8922,van,point,71,-x,72,200,95,-7,-21,-21,-1
JE2011,car,point,66,+y,189,55,40,-7,-11,-11,-21
JE2795,van,point,21,+z,139,11,134,-14,-11,2,-11
JE4640,pkw,point,71,+x,55,94,172,-7,-1,2,-7
JE6065,car,point,71,-z,110,142,125,-21,3,-21,2
JE7056,pkw,point,66,+x,34,54,9,-7,3,-1,-14
JE5254,pkw,point,71,-x,98,186,3,-21,-21,-1,1
JE5025,pkw,point,66,+z,52,149,188,3,2,-11,2
JE6464,pkw,point,21,+y,32,41,111,-1,-14,-21,3
JE4927,van,point,23,-x,118,125,113,3,2,-14,-7
JE3481,car,point,21,-x,122,84,173,-21,-21,1,-14
JE9394,pkw,point,23,+y,32,60,174,1,2,-14,-21
JE7915,car,point,21,-z,36,94,69,3,2,-21,-7
JE9793,car,point,23,+y,28,59,36,-14,-7,-14,2
JE5238,van,point,21,+x,5,59,3,-1,2,-21,-14
JE6044,pkw,point,66,+x,163,187,197,-11,-7,3,-7
JE3967,van,point,21,-z,188,1,12,-21,-21,1,-1
JE2525,pkw,point,71,-y,198,180,73,-1,-7,1,-7
JE5656,van,point,21,+y,130,59,185,-1,3,-1,-11
JE8772,van,point,66,-x,156,162,36,-21,2,3,-7
JE8072,van,point,66,-y,22,168,22,1,2,-1,3
JE4930,car,point,71,-z,148,46,132,-21,1,-14,-11
JE4963,pkw,point,21,+x,35,18,93,-7,-14,3,-7
JE5956,van,point,21,-x,28,16,189,2,2,2,-21
JE7254,car,point,23,+z,128,146,155,1,2,3,2
JE4887,car,point,71,+z,138,96,104,3,2,3,-7
JE9661,car,point,71,+z,132,107,77,3,2,-11,-7
JE5480,pkw,point,23,+x,82,61,196,-21,-11,1,-14
JE3468,pkw,point,21,+y,137,95,30,2,2,1,-21
JE1153,car,point,66,-z,68,194,32,-14,-7,-7,-7
JE3095,van,point,66,+x,114,163,81,-21,-1,3,3
JE8957,van,point,71,+y,17,18,181,3,2,3,-11
JE9462,pkw,point,23,+x,180,51,94,1,2,3,3
JE9830,car,point,66,-y,52,145,116,1,2,-21,-21
JE6118,pkw,point,23,+x,174,77,144,1,2,2,-21
JE4461,pkw,point,71,-y,93,140,197,-7,-1,-1,1
JE4182,car,point,71,-y,139,65,46,1,2,-7,-11
JE1973,pkw,point,23,-x,185,170,147,-21,3,3,-21
JE6159,pkw,point,21,-y,172,8,5,-21,-11,1,1
JE2302,car,point,21,+y,34,38,78,-11,-14,2,-1
JE3305,car,point,71,-y,128,20,61,1,2,2,-1
JE5082,pkw,point,23,+x,177,82,150,-7,-14,-7,2
JE1467,car,point,71,+z,14,88,194,-7,1,-11,2
JE6532,car,point,66,+z,95,153,98,-11,3,3,-14
JE7761,van,point,21,+y,21,97,173,-21,2,-1,-21
JE8326,pkw,point,71,+y,87,4,88,-21,-14,-1,3
JE4518,car,point,23,-y,54,126,46,3,2,-14,1
JE4954,pkw,point,23,+x,107,135,117,3,2,-11,2
JE6760,van,point,66,+y,182,195,169,-1,3,1,-11
JE8945,car,point,21,+x,59,161,19,2,2,1,-7
JE8571,van,point,71,-x,51,175,94,-7,2,1,3
JE5872,pkw,point,71,+x,127,128,93,3,2,-1,2
JE8549,van,point,71,+x,137,170,118,3,2,-21,-11
